DATE,TIME OF DAY,NUMBER OF CRASHES,PERSONS INJURED,PERSONS KILLED,PEAK LOCATION,MAIN FACTOR,MAIN TYPE OF CAR
2012-08-08,SMALL HOURS,28,11,1,arthur kill road                ,unspecified,passenger vehicle
2012-08-09,AFTERNOON,210,59,0,northern boulevard              ,unspecified,passenger vehicle
2012-08-09,EVENING,82,22,1,laguardia place                 ,unspecified,passenger vehicle
2012-08-09,MORNING,123,28,1,7 avenue                        ,unspecified,passenger vehicle
2012-08-09,SMALL HOURS,36,17,0,west 13 street                  ,unspecified,passenger vehicle
2012-08-10,AFTERNOON,226,43,0,broadway                        ,unspecified,passenger vehicle
2012-08-10,EVENING,89,43,1,grand street                    ,unspecified,passenger vehicle
2012-08-10,MORNING,146,38,0,utica avenue                    ,unspecified,passenger vehicle
2012-08-10,SMALL HOURS,30,11,0,albermarle road                 ,unspecified,passenger vehicle
2012-08-11,AFTERNOON,152,42,0,linden boulevard                ,unspecified,passenger vehicle
2012-08-11,EVENING,92,35,0,atlantic avenue                 ,unspecified,passenger vehicle
2012-08-11,MORNING,86,25,1,2 avenue                        ,unspecified,passenger vehicle
2012-08-11,SMALL HOURS,56,16,0,7 avenue south                  ,unspecified,passenger vehicle
2012-08-12,AFTERNOON,158,52,0,broadway                        ,unspecified,passenger vehicle
2012-08-12,EVENING,84,28,0,northern boulevard              ,unspecified,passenger vehicle
2012-08-12,MORNING,66,17,0,atlantic avenue                 ,unspecified,passenger vehicle
2012-08-12,SMALL HOURS,77,20,0,steinway street                 ,unspecified,passenger vehicle
2012-08-13,AFTERNOON,169,52,0,ralph avenue                    ,unspecified,passenger vehicle
2012-08-13,EVENING,67,19,0,east 149 street                 ,unspecified,passenger vehicle
2012-08-13,MORNING,112,31,0,west 109 street                 ,unspecified,passenger vehicle
2012-08-13,SMALL HOURS,33,4,0,east 19 street                  ,unspecified,passenger vehicle
2012-08-14,AFTERNOON,170,40,0,flatbush avenue                 ,unspecified,passenger vehicle
2012-08-14,EVENING,83,29,0,flatbush avenue                 ,unspecified,passenger vehicle
2012-08-14,MORNING,130,32,0,broadway                        ,unspecified,passenger vehicle
2012-08-14,SMALL HOURS,19,8,0,amboy road                      ,unspecified,passenger vehicle
2012-08-15,AFTERNOON,213,52,0,broadway                        ,unspecified,passenger vehicle
